,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Years_Since_Join,Total_Amnt_Spend,No_of_Childrens,Is_Parent,Memebers_In_Family,Total_Purchase,labels
14,2,1,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,37,12,46,0,0,2,13,3
15,4,0,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,78,12,1315,0,0,1,29,1
16,2,1,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,44,12,96,2,1,4,17,0
17,2,0,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,78,12,317,0,0,2,20,1
18,3,1,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,75,11,1782,1,1,3,31,3
19,0,0,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,39,12,133,1,1,2,14,2
20,2,1,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,42,12,316,0,0,2,20,3
21,2,1,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,45,11,1730,1,1,3,44,0
22,4,1,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,75,12,972,1,1,3,25,0
23,4,1,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,70,10,544,1,1,3,24,0
24,2,0,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,73,11,444,1,1,3,28,2
25,2,0,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,55,11,75,0,0,1,15,1
26,2,1,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,48,11,257,2,1,4,21,0
27,2,0,52357.791543756146,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,38,11,637,1,1,2,28,2
28,2,1,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,35,11,131,1,1,3,12,0
29,4,1,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,59,11,1672,0,0,2,28,3
30,3,0,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,35,10,30,0,0,1,13,1
31,3,0,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,61,11,318,0,0,2,14,1
32,2,0,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,54,12,120,1,1,3,14,2
33,4,0,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,72,12,302,2,1,3,23,2
34,3,1,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,78,11,1196,0,0,2,25,3
35,3,0,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,73,11,65,2,1,3,13,2
36,4,1,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,54,11,913,1,1,3,30,0
37,0,1,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,48,11,81,1,1,3,16,0
38,2,0,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,51,10,67,1,1,2,12,2
39,4,0,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,1,81,11,902,0,0,1,30,1
40,2,1,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,44,11,1395,1,1,3,25,0
41,3,1,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,39,11,53,1,1,3,15,0
42,2,0,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,67,12,22,1,1,3,9,2
43,4,0,52357.791543756146,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,65,11,186,0,0,1,11,1
44,3,1,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,49,11,31,1,1,3,13,0
45,2,0,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,48,10,984,0,0,1,17,1
46,0,1,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,28,12,122,0,0,2,19,3
47,2,0,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,56,11,55,1,1,3,15,2
48,2,0,52357.791543756146,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,73,10,124,3,1,4,16,2
49,4,1,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,70,12,1319,2,1,4,36,0
50,2,0,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,67,10,507,1,1,2,19,2
51,3,1,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,60,12,1693,0,0,2,32,3
52,2,0,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,47,11,72,1,1,2,14,2
53,2,0,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1,47,10,1617,0,0,1,22,1
54,2,1,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,46,11,606,2,1,4,26,0
55,3,0,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,1,69,12,1957,0,0,2,28,1
56,2,0,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,58,11,1093,0,0,1,24,1
57,2,0,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,36,10,29,1,1,2,9,2
58,2,0,52357.791543756146,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,42,11,46,1,1,2,13,2
59,4,1,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,56,10,518,1,1,3,26,0
60,3,0,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,42,11,1438,0,0,1,22,1
61,2,0,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,49,12,612,2,1,4,25,2
62,2,0,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,72,11,884,1,1,2,31,2
63,4,0,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,73,11,606,1,1,2,24,2
64,2,0,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,76,11,1076,0,0,2,20,1
65,2,1,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1,53,11,34,1,1,3,12,0
66,2,0,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,57,10,11,2,1,4,11,2
67,0,0,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,45,10,1274,1,1,2,37,1
68,2,0,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,66,11,653,1,1,3,22,2
69,2,0,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,54,11,1562,3,1,5,24,2
70,3,1,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,70,12,1253,0,0,2,24,3
71,0,1,52357.791543756146,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,51,12,109,1,1,3,17,0
72,2,1,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,65,11,863,1,1,3,37,0
73,4,1,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,49,11,661,2,1,4,31,0
74,2,1,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,72,10,65,0,0,2,10,3
75,2,0,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,47,12,13,1,1,2,10,2
76,3,1,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,52,12,1890,0,0,2,24,3
77,2,0,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,1,48,12,2209,0,0,1,26,1
78,0,0,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,48,11,18,0,0,2,7,1
79,2,0,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,59,11,692,0,0,2,29,1
80,2,0,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,39,12,165,1,1,2,20,2
81,2,1,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,55,11,16,1,1,3,11,0
82,0,1,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,51,11,79,1,1,3,16,0
84,2,0,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,37,10,778,0,0,1,28,1
85,2,1,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,64,11,56,2,1,4,14,0
86,3,1,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,54,11,151,2,1,4,20,0
87,2,0,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,67,10,372,1,1,2,24,2
88,2,1,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,51,10,1366,0,0,2,21,3
89,2,0,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,57,10,194,1,1,3,12,2
90,4,1,52357.791543756146,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,67,12,603,3,1,5,38,0
91,2,0,52357.791543756146,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,67,10,18,2,1,3,11,2
92,3,0,52357.791543756146,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,51,11,985,0,0,2,16,1
93,3,0,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,52,10,32,1,1,2,12,2
94,4,1,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,54,10,43,1,1,3,15,0
95,2,1,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,41,10,45,1,1,3,12,0
96,2,0,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,64,12,606,1,1,2,28,2
97,2,0,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,52,11,63,2,1,3,14,2
98,0,1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,73,11,978,0,0,2,27,3
99,4,1,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,41,11,410,0,0,2,21,3
100,0,0,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,64,11,72,1,1,2,15,2
101,4,0,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,65,10,55,1,1,2,13,2
102,2,0,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,45,11,1169,1,1,3,32,1
103,4,1,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,79,11,1120,0,0,2,20,3
104,2,1,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1,65,10,1097,0,0,2,21,3
105,1,0,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,45,11,29,1,1,3,10,2
106,2,1,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,60,11,187,2,1,4,20,0
107,2,1,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,55,11,910,2,1,4,32,0
108,2,0,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,46,12,145,1,1,2,16,2
109,3,1,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,64,12,850,0,0,2,16,3
110,2,0,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,45,11,969,1,1,3,27,2
111,4,0,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,1,33,12,1820,0,0,1,26,1
112,3,0,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,61,10,608,1,1,3,26,2
113,2,0,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,1,33,11,730,0,0,1,28,1
114,4,1,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,44,12,551,1,1,3,28,0
115,2,0,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,62,11,114,2,1,3,14,2
116,2,1,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,54,10,1724,0,0,2,16,3
117,0,1,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,46,11,577,1,1,3,29,0
118,0,0,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,57,11,81,2,1,4,12,2
119,2,0,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,55,11,33,1,1,3,13,2
120,3,0,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,71,11,660,1,1,3,26,2
121,3,0,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,1,57,10,80,1,1,2,14,2
122,3,1,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,39,11,30,2,1,4,13,0
123,2,0,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,48,11,43,1,1,2,12,2
124,2,0,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,1,41,11,1135,0,0,1,29,1
125,0,0,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,59,11,559,0,0,2,17,1
126,2,0,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1,40,11,1923,0,0,1,17,1
127,3,1,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,71,10,90,2,1,4,14,0
128,4,1,52357.791543756146,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,63,11,404,1,1,3,23,0
129,4,0,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,68,10,661,2,1,4,27,2
130,2,1,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,72,11,463,1,1,3,24,0
132,2,1,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,55,10,725,0,0,2,23,3
133,2,1,52357.791543756146,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,61,11,725,1,1,3,23,0
134,4,1,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,60,11,279,2,1,4,24,0
135,4,0,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,57,11,1482,0,0,2,26,1
136,1,0,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,48,12,29,1,1,2,14,2
137,4,1,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,65,11,106,3,1,5,17,0
139,4,0,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,59,11,38,2,1,3,14,2
140,3,0,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,32,12,2077,0,0,1,24,1
141,3,0,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,48,11,1053,1,1,3,24,2
142,2,1,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,62,11,1385,0,0,2,25,3
143,4,0,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,50,11,871,1,1,2,31,2
144,2,0,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,36,11,312,1,1,3,19,2
145,2,1,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,48,12,877,2,1,4,23,0
146,2,1,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,1,49,12,68,1,1,3,12,0
147,2,0,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,43,11,22,1,1,3,12,2
148,0,1,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,51,12,211,3,1,5,24,0
149,3,1,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,58,10,127,0,0,2,11,3
150,3,1,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,71,10,459,2,1,4,19,0
151,2,1,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,55,10,460,1,1,3,25,0
152,0,0,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,52,12,429,1,1,3,24,2
154,4,0,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,72,12,1021,1,1,3,31,2
155,2,0,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,1,75,11,1381,0,0,2,25,1
156,2,0,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,66,11,306,1,1,2,22,2
157,2,0,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,46,11,18,3,1,4,8,2
158,2,0,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,47,11,162,1,1,3,11,2
159,2,0,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,69,11,1231,0,0,1,19,1
160,3,0,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,66,11,13,3,1,4,11,2
161,4,1,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,79,12,1706,0,0,2,33,3
162,2,1,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,40,10,121,1,1,3,19,0
163,4,0,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,49,11,1293,0,0,1,22,1
164,4,1,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,51,10,1608,1,1,3,37,0
165,2,0,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,58,11,88,3,1,5,15,2
166,2,0,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,71,11,421,0,0,1,21,1
167,2,0,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,65,11,259,0,0,1,16,1
168,2,0,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,36,11,1117,0,0,1,16,1
169,2,0,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,67,10,89,2,1,4,14,2
170,2,0,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,59,10,36,2,1,4,13,2
171,2,1,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,42,11,57,1,1,3,15,0
172,2,1,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,54,10,148,2,1,4,14,0
173,4,0,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,65,10,93,2,1,4,13,2
174,2,0,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,57,10,119,1,1,2,11,2
175,4,1,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,49,12,1835,1,1,3,33,3
176,4,1,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,1,76,12,1318,0,0,2,29,3
177,4,1,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,54,10,45,2,1,4,14,0
178,2,0,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,65,10,10,3,1,5,6,2
180,4,1,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,48,10,191,1,1,3,15,0
181,0,1,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,36,10,57,1,1,3,15,0
182,3,1,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,78,11,1033,0,0,2,26,3
183,3,1,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,40,10,66,1,1,3,12,0
184,1,1,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,63,10,43,0,0,2,12,3
185,2,1,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,41,12,50,1,1,3,14,0
186,4,0,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,54,10,39,1,1,2,12,2
187,2,1,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,58,11,608,1,1,3,23,0
188,2,1,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,48,11,1581,0,0,2,26,3
189,4,1,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,60,11,68,2,1,4,14,0
190,1,0,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,46,12,80,1,1,3,11,2
191,4,0,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,35,11,1282,0,0,2,31,1
192,0,0,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,0,124,11,65,1,1,2,11,2
193,2,1,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,36,11,91,1,1,3,16,0
194,2,1,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,51,11,315,2,1,4,22,0
195,2,1,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,47,11,31,2,1,4,14,0
196,3,1,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,44,10,834,0,0,2,26,3
197,2,1,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,70,11,1600,0,0,2,19,3
198,2,1,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,70,11,1270,0,0,2,19,3
199,4,0,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,1,51,10,263,2,1,3,23,2
200,2,0,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,72,10,535,1,1,2,24,2
201,2,0,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,56,11,1295,0,0,1,19,1
202,2,0,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,46,11,1150,1,1,2,35,2
203,4,0,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,1,47,12,1240,0,0,2,30,1
204,4,0,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,59,11,38,2,1,3,13,2
205,3,0,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,40,12,35,0,0,1,10,1
206,2,0,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,36,11,53,1,1,3,14,2
207,3,0,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,61,11,293,2,1,3,23,2
208,2,1,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,58,10,65,1,1,3,12,0
209,2,0,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,1,70,12,1804,1,1,2,37,1
210,2,0,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,68,11,241,1,1,3,19,2
211,2,0,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,70,10,1101,0,0,2,21,1
212,4,1,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,56,12,264,2,1,4,27,0
213,3,0,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,50,11,541,2,1,4,33,2
214,2,1,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,39,11,1198,0,0,2,18,3
215,2,1,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,47,10,482,1,1,3,28,0
216,0,0,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,46,10,17,3,1,4,12,2
217,3,1,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,76,11,1615,0,0,2,28,3
